 county , total_pop , male_pop , female_pop , intersex_pop , total_households , conventional_households , group_quarters_households , land_area_sq_km , density_persons_per_sq_km ,,,
 Kajiado ," 1,117,840 "," 557,098 "," 560,704 ", 38 ," 316,179 "," 313,218 "," 2,961 "," 21,871 ", 51 ,,,
 Kericho ," 901,777 "," 450,741 "," 451,008 ", 28 ," 206,036 "," 205,932 ", 104 ," 2,436 ", 370 ,,,
 Bomet ," 875,689 "," 434,287 "," 441,379 ", 23 ," 187,641 "," 187,230 ", 411 ," 2,507 ", 349 ,,,
 Kakamega ," 1,867,579 "," 897,133 "," 970,406 ", 40 ," 433,207 "," 432,284 ", 923 ," 3,017 ", 619 ,,,
 Vihiga ," 590,013 "," 283,678 "," 306,323 ", 12 ," 143,365 "," 143,288 ", 77 , 564 ," 1,047 ",,,
 Bungoma ," 1,670,570 "," 812,146 "," 858,389 ", 35 ," 358,796 "," 357,714 "," 1,082 "," 3,024 ", 552 ,,,
 Busia ," 893,681 "," 426,252 "," 467,401 ", 28 ," 198,152 "," 197,944 ", 208 ," 1,700 ", 526 ,,,
 Siaya ," 993,183 "," 471,669 "," 521,496 ", 18 ," 250,698 "," 249,341 "," 1,357 "," 2,530 ", 393 ,,,
 Kisumu ," 1,155,574 "," 560,942 "," 594,609 ", 23 ," 300,745 "," 296,846 "," 3,899 "," 2,085 ", 554 ,,,
 Homa Bay ," 1,131,950 "," 539,560 "," 592,367 ", 23 ," 262,036 "," 260,290 "," 1,746 "," 3,153 ", 359 ,,,
 Migori ," 1,116,436 "," 536,187 "," 580,214 ", 35 ," 240,168 "," 238,133 "," 2,035 "," 2,613 ", 427 ,,,
 Kisii ," 1,266,860 "," 605,784 "," 661,038 ", 38 ," 308,054 "," 307,254 ", 800 ," 1,323 ", 957 ,,,
 Nyamira ," 605,576 "," 290,907 "," 314,656 ", 13 ," 150,669 "," 150,499 ", 170 , 897 , 675 ,,,
 Nairobi City ," 4,397,073 "," 2,192,452 "," 2,204,376 ", 245 ," 1,506,888 "," 1,494,676 "," 12,212 ", 704 ," 6,247 ",,,
